Operador;Pais
Agco Corp;Estados Unidos
Air Ambulance - Med-Trans Corp.;Estados Unidos
Air ambulance - Mercy Air Services;Estados Unidos
Air Amercia;Estados Unidos
Air America;Estados Unidos
Air Angles Inc.;Estados Unidos
Air Cargo Carriers;Estados Unidos
Air Carriers Express Services Inc;Estados Unidos
Air Evac Lifeteam;Estados Unidos
Air Florida;Estados Unidos
Air Hawaii;Estados Unidos
Air Illinois;Estados Unidos
Air Memphis;Estados Unidos
Air Methods / Classic Helicopters;Estados Unidos
Air New England;Estados Unidos
Air South;Estados Unidos
Air Sunshine;Estados Unidos
Air Tahoma;Estados Unidos
Air Taxi;Estados Unidos
Air Taxi - Air Grand Canyon Inc.;Estados Unidos
Air Taxi - Airis Helicopters Inc.;Estados Unidos
Air Taxi - Bohemia Inc.;Estados Unidos
Air Taxi - Centre Airlines Inc.;Estados Unidos
Air Taxi - Coastal Helicopters Inc.;Estados Unidos
Air Taxi - El Aero Services Inc.;Estados Unidos
Air Taxi - EMS;Estados Unidos
Air Taxi - Great Northern Aircraft Co.;Estados Unidos
Air Taxi - Hawaii Helicopters Inc.;Estados Unidos
Air Taxi - Ohana Helicopter Tours;Estados Unidos
Air Taxi - Papillion Helicopters Ltd.;Estados Unidos
Air Taxi - Paramount Aviation Corp.;Estados Unidos
Air Taxi - Petroleum Helicopters Inc.;Estados Unidos
Air Taxi - Raco Helicopters Corp.;Estados Unidos
Air Taxi - South Coast Helicopters Inc.;Estados Unidos
Air Taxi - Talon Air Services Inc.;Estados Unidos
Air Taxi - US Helicopters Inc.;Estados Unidos
Air Taxi - Uyak Air Services Inc.;Estados Unidos
Air Taxi - Wolfe Air Aviation Ltd.;Estados Unidos
Air US / Private;Estados Unidos
Air Wisconsin;Estados Unidos
Airborne Express;Estados Unidos
Airborne Freight Company Union;Estados Unidos
Air-Lift Commuter;Estados Unidos
AirNow;Estados Unidos
AirWest Airlines;Estados Unidos
Alamo Airways;Estados Unidos
Alaska Aeronautical Industries;Estados Unidos
Alaska Airlines;Estados Unidos
Alaska Central Express;Estados Unidos
Alaska Coastal Airlines;Estados Unidos
Alaska Helicopter - Air Taxi;Estados Unidos
Alaska International Air;Estados Unidos
Alaska Travel;Estados Unidos
Alaska-Washington Airways;Estados Unidos
All West Freight;Estados Unidos
Allegheny Airlines;Estados Unidos
Allegheny Airlines / Forth Corporation;Estados Unidos
Allied Air Freight;Estados Unidos
Aloha Airlines;Estados Unidos
Aloha Island Air;Estados Unidos
Alpha Airways;Estados Unidos
Alpine Adventures;Estados Unidos
Ambler Air Service;Estados Unidos
American Air  Export & Import Co.;Estados Unidos
American Airlines;Estados Unidos
American Airlines / Military - USAF;Estados Unidos
American Airlines / Private;Estados Unidos
American Airways;Estados Unidos
American Eagle;Estados Unidos
American Export Airlines;Estados Unidos
American Express Leasing;Estados Unidos
American Flyers Airline;Estados Unidos
American International Airways;Estados Unidos
American Jet;Estados Unidos
American Overseas Airlines;Estados Unidos
Ameriflight;Estados Unidos
Ameristar Jet Charter;Estados Unidos
Angel Flight;Estados Unidos
Arctic Circle Air Service;Estados Unidos
Arctic Wings & Rotors;Estados Unidos
Arrow Airlines;Estados Unidos
Arrow Airways;Estados Unidos
Atlantic Central Airlines;Estados Unidos
Atlantic City Airlines;Estados Unidos
Atlantic Coast Airlines (United Express);Estados Unidos
Atlantic Southeast Airlines;Estados Unidos
Atlas Air serving Amazon;Estados Unidos
AV Air / American Eagle;Estados Unidos
Aviation Enterprises;Estados Unidos
Aviatour's Fly'n Inc.;Estados Unidos
Avtex Air Services;Estados Unidos
Bangkok Airways;Estados Unidos
Bangladesh Biman;Estados Unidos
